,Model,Group,Feature,Params,r2,mae,mse,mape,exp_var
0,KRR,multi_band,nir_red,"{'alpha': 0.001, 'degree': 2, 'gamma': 100.0, 'kernel': 'poly'}",0.7880707580723966,20.06984573627726,1074.1533056104583,0.4133265441495718,0.7880707580724692
1,KRR,multi_band,nir_red_green,"{'alpha': 1.5, 'degree': 2, 'gamma': 100.0, 'kernel': 'laplacian'}",0.8103549824689729,16.42737341940518,961.2067717540092,0.3078989825411598,0.8199018834514202
2,KRR,multi_band,all_bands,"{'alpha': 1.5, 'degree': 2, 'gamma': 100.0, 'kernel': 'laplacian'}",0.7956205837935442,15.879604138170667,1035.8873722197097,0.25938581694495666,0.8124538156845992
3,KRR,multi_band,location,"{'alpha': 1.5, 'degree': 2, 'gamma': 100.0, 'kernel': 'chi2'}",0.7317652006432983,20.088437564862158,1359.5353514602996,0.33522074751256287,0.753315667841395
4,KRR,multi_band,period,"{'alpha': 0.001, 'degree': 2, 'gamma': 10.0, 'kernel': 'rbf'}",0.8042774527709421,16.946829663488653,992.0104426193806,0.28714094288936276,0.8042774648587822
5,KRR,multi_band,period_location,"{'alpha': 0.1, 'degree': 2, 'gamma': 100.0, 'kernel': 'chi2'}",0.9262308400075406,9.287855628915201,373.8954867071894,0.13878323963014022,0.9267141061621237
6,GBR,multi_band,nir_red,"{'learning_rate': 0.1, 'loss': 'absolute_error', 'max_depth': 2, 'n_estimators': 100, 'warm_start': True}",0.7902004828590149,17.52560746077893,1063.3588965955473,0.3023164803927585,0.8010264461082854
7,GBR,multi_band,nir_red_green,"{'learning_rate': 0.1, 'loss': 'absolute_error', 'max_depth': 2, 'n_estimators': 100, 'warm_start': True}",0.776790947580626,16.44985748443096,1131.3244898047283,0.2740917066812887,0.7897572318074071
8,GBR,multi_band,all_bands,"{'learning_rate': 0.1, 'loss': 'absolute_error', 'max_depth': 2, 'n_estimators': 100, 'warm_start': True}",0.7738954915667962,15.900380284153881,1145.9999712069944,0.25799235153339206,0.7859935520206486
9,GBR,multi_band,location,"{'learning_rate': 0.1, 'loss': 'absolute_error', 'max_depth': 2, 'n_estimators': 500, 'warm_start': True}",0.8196989732973288,13.715777927979262,913.8471976594591,0.20794873041917739,0.8272506976132165
10,GBR,multi_band,period,"{'learning_rate': 0.1, 'loss': 'absolute_error', 'max_depth': 5, 'n_estimators': 100, 'warm_start': True}",0.841229104839638,9.876136868756106,804.7227476493953,0.1263052630200054,0.8473663373223331
11,GBR,multi_band,period_location,"{'learning_rate': 0.1, 'loss': 'absolute_error', 'max_depth': 2, 'n_estimators': 300, 'warm_start': True}",0.8081449624851977,13.843551018590466,972.4081531653025,0.19678451723364968,0.8180167753925436
12,RF,multi_band,nir_red,"{'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300, 'oob_score': False, 'warm_start': True}",0.8972268355149218,14.33605026585992,520.900907093348,0.32140511135788413,0.8992282227782175
13,RF,multi_band,nir_red_green,"{'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': False, 'warm_start': True}",0.8886117170930709,14.394853111739746,564.566225984159,0.2979152222482249,0.8904631984995978
14,RF,multi_band,all_bands,"{'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300, 'oob_score': False, 'warm_start': True}",0.9152077474442166,12.804609219314788,429.76550826367395,0.2885300636387399,0.91628995286627
15,RF,multi_band,location,"{'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300, 'oob_score': False, 'warm_start': True}",0.9056505498509483,13.233800695426682,478.20571072845877,0.3005869144874474,0.9071215902935372
16,RF,multi_band,period,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 300, 'oob_score': False, 'warm_start': True}",0.9583957761691622,7.757818437974753,210.86903415866541,0.143204832635682,0.9584678407357727
17,RF,multi_band,period_location,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': False, 'warm_start': True}",0.9569369854086153,7.768537511887374,218.26284590159952,0.14419717757839576,0.9569810055794824
